season,nbapersonid,All NBA Defensive First Team,All NBA Defensive Second Team,All NBA First Team,All NBA Second Team,All NBA Third Team,All Rookie First Team,All Rookie Second Team,Bill Russell NBA Finals MVP,Player Of The Month,Player Of The Week,Rookie Of The Month,all_star_game,rookie_all_star_game,allstar_rk,Defensive Player Of The Year_rk,Most Improved Player_rk,Most Valuable Player_rk,Rookie Of The Year_rk,Sixth Man Of The Year_rk,all_nba_points_rk,all_rookie_points_rk
2007,708,1,0,1,0,0,0,0,0,0,3,0,TRUE,FALSE,1,1,NA,3,NA,NA,NA,NA
2007,947,0,0,0,0,0,0,0,0,0,3,0,TRUE,FALSE,2,NA,NA,NA,NA,NA,NA,NA
2007,948,1,0,0,0,0,0,0,0,0,0,0,NA,NA,3,2,NA,NA,NA,NA,NA,NA
2007,959,0,0,0,1,0,0,0,0,0,0,0,TRUE,FALSE,4,NA,NA,9,NA,NA,NA,NA
2007,977,1,0,1,0,0,0,0,0,2,3,0,TRUE,FALSE,1,5,NA,1,NA,NA,NA,NA
2007,1477,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
2007,1495,1,0,0,1,0,0,0,0,0,0,0,TRUE,FALSE,2,9,NA,7,NA,NA,NA,NA
2007,1503,0,0,0,0,1,0,0,0,0,2,0,NA,NA,3,NA,NA,8,NA,NA,NA,NA
2007,1536,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1712,0,0,0,0,0,0,0,0,0,1,0,TRUE,FALSE,NA,NA,NA,14,NA,NA,NA,NA
2007,1717,0,0,0,1,0,0,0,0,0,0,0,TRUE,FALSE,3,NA,NA,11,NA,NA,NA,NA
2007,1718,0,0,0,0,1,0,0,1,0,2,0,TRUE,FALSE,4,NA,NA,14,NA,NA,NA,NA
2007,1802,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1884,0,0,0,0,0,0,0,0,0,1,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2007,1889,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1938,0,0,0,0,1,0,0,0,0,1,0,NA,NA,6,NA,NA,10,NA,1,NA,NA
2007,1952,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
2007,2045,0,0,0,0,0,0,0,0,1,2,0,NA,NA,7,NA,1,NA,NA,NA,NA,NA
2007,2202,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,2203,0,1,0,0,0,0,0,0,0,0,0,NA,NA,6,3,NA,NA,NA,NA,NA,NA
2007,2207,0,0,0,0,0,0,0,0,1,2,0,TRUE,FALSE,9,NA,NA,NA,NA,NA,NA,NA
2007,2222,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,2225,0,0,0,0,0,0,0,0,0,1,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2007,2397,0,0,0,0,1,0,0,0,1,1,0,TRUE,FALSE,1,NA,NA,NA,NA,NA,NA,NA
2007,2405,0,0,0,1,0,0,0,0,0,2,0,TRUE,FALSE,2,NA,NA,6,NA,NA,NA,NA
2007,2419,0,1,0,0,0,0,0,0,0,0,0,NA,NA,9,10,NA,NA,NA,NA,NA,NA
2007,2430,0,0,0,0,1,0,0,0,1,0,0,TRUE,FALSE,4,NA,NA,14,NA,NA,NA,NA
2007,2434,0,0,0,0,0,0,1,0,0,0,0,FALSE,TRUE,NA,NA,NA,NA,6,NA,NA,NA
2007,2449,0,0,0,0,0,1,0,0,0,0,1,FALSE,TRUE,8,NA,NA,NA,3,NA,NA,NA
